date,text
2025-12-15T02:00:00.000000,KIKT 150200Z AUTO 02024G34KT 10SM BKN023 OVC029 15/08 A3027 RMK A01
2025-12-15T02:00:00.000000,KIKT 150200Z AUTO 02024G34KT 10SM BKN023 OVC029 15/08 A3027 RMK A01
2025-12-15T02:00:00.000000,KIKT 150200Z AUTO 02024G34KT 10SM BKN023 OVC029 15/08 A3027 RMK A01
2025-12-15T01:55:00.000000,KMCX 150155Z AUTO 00000KT 10SM CLR M18/M23 A3066 RMK AO2 T11821227
2025-12-15T01:50:00.000000,PTRO 150150Z 06012G17KT 14SM BKN016 BKN130 BKN320 31/25 A2978
2025-12-15T01:55:00.000000,KAID 150155Z AUTO 28004KT 10SM CLR M17/M22 A3062 RMK AO2 T11751221
2025-12-15T01:55:00.000000,KAID 150155Z AUTO 28004KT 10SM CLR M17/M22 A3062 RMK AO2 T11751221
2025-12-15T01:50:00.000000,PTRO 150150Z 06012G17KT 14SM BKN016 BKN130 BKN320 31/25 A2978
2025-12-15T01:50:00.000000,PTRO 150150Z 06012G17KT 14SM BKN016 BKN130 BKN320 31/25 A2978
2025-12-15T01:55:00.000000,KAID 150155Z AUTO 28004KT 10SM CLR M17/M22 A3062 RMK AO2 T11751221
2025-12-15T01:50:00.000000,PTRO 150150Z 06012G17KT 14SM BKN016 BKN130 BKN320 31/25 A2978
2025-12-15T01:45:00.000000,KSWF 150145Z 32010G19KT 10SM FEW050 M08/M15 A3006
2025-12-15T01:50:00.000000,PTRO 150150Z 06012G17KT 14SM BKN016 BKN130 BKN320 31/25 A2978
2025-12-15T01:45:00.000000,KSWF 150145Z 32010G19KT 10SM FEW050 M08/M15 A3006
2025-12-15T01:47:00.000000,KADS 150147Z 02007KT 10SM SKC 02/M09 A3057
2025-12-15T01:47:00.000000,KCFO 150147Z 19007KT 10SM CLR 06/M08 A3020
2025-12-15T01:45:00.000000,KISO 150145Z 34022G30KT 10SM CLR M02/M16 A3035
2025-12-15T01:47:00.000000,KADS 150147Z 02007KT 10SM SKC 02/M09 A3057
2025-12-15T01:47:00.000000,KCFO 150147Z 19007KT 10SM CLR 06/M08 A3020
2025-12-15T01:45:00.000000,KISO 150145Z 34022G30KT 10SM CLR M02/M16 A3035
2025-12-15T01:45:00.000000,KSWF 150145Z 32010G19KT 10SM FEW050 M08/M15 A3006
2025-12-15T01:45:00.000000,KISO 150145Z 34022G30KT 10SM CLR M02/M16 A3035
2025-12-15T01:50:00.000000,PTRO 150150Z 06012G17KT 14SM BKN016 BKN130 BKN320 31/25 A2978
2025-12-15T01:45:00.000000,KSWF 150145Z 32010G19KT 10SM FEW050 M08/M15 A3006
2025-12-15T01:47:00.000000,KADS 150147Z 02007KT 10SM SKC 02/M09 A3057
2025-12-15T01:45:00.000000,KISO 150145Z 34022G30KT 10SM CLR M02/M16 A3035
2025-12-15T01:48:00.000000,KCWF 150148Z 03011G16KT 10SM CLR 04/M08 A3049
