station_id,latitude,longitude,elevation,date_time,wind_direction,wind_speed,wind_gust,visibility,current_wx1,current_wx2,current_wx3,low_cloud_type,low_cloud_level,medium_cloud_type,medium_cloud_level,high_cloud_type,high_cloud_level,highest_cloud_type,highest_cloud_level,cloud_coverage,air_temperature,dew_point_temperature,altimeter,current_wx1_symbol,current_wx2_symbol,current_wx3_symbol,remarks,air_pressure_at_sea_level,eastward_wind,northward_wind,report_time
KMMU,40.78,-74.42,57.0,2025-12-14 01:45:00,0.0,0.0,,16093.44,,,,SCT,12000.0,,,,,,,4,0.0,-3.0,30.04,0,0,0,,1017.95,-0.0,-0.0,2025-12-14 01:45:00
KMPO,41.13,-75.38,577.0,2025-12-14 01:45:00,250.0,5.0,,2414.016,-SN,BR,,FEW,800.0,OVC,2200.0,,,,,8,-3.0,-4.0,29.92,71,10,0,AO2 P0000 T10281044,1017.66,4.698463103929543,1.7101007166283426,2025-12-14 01:45:00
KFWN,41.2,-74.63,133.0,2025-12-14 01:50:00,0.0,0.0,,2414.016,-SN,,,OVC,1900.0,,,,,,,8,-1.0,-3.0,30.0,71,0,0,AO2 P0001,1017.14,-0.0,-0.0,2025-12-14 01:50:00
KNYC,40.78,-73.97,11.0,2025-12-14 01:51:00,0.0,0.0,,16093.44,,,,OVC,10000.0,,,,,,,8,3.0,-5.0,30.04,0,0,0,AO2 SLP165 T00331050,1017.63,-0.0,-0.0,2025-12-14 01:51:00
KABE,40.65,-75.45,114.0,2025-12-14 01:51:00,250.0,4.0,,9656.064,-SN,,,OVC,3600.0,,,,,,,8,0.0,-3.0,30.02,71,0,0,AO2 SNB40 SLP171 P0000 T00001028,1017.64,3.7587704831436337,1.3680805733026742,2025-12-14 01:51:00
KEWR,40.68,-74.17,7.0,2025-12-14 01:51:00,240.0,6.0,,16093.44,,,,SCT,4000.0,SCT,6000.0,OVC,11000.0,,,8,3.0,-4.0,30.03,0,0,0,AO2 SNE01 SLP169 P0000 T00331044 $,1017.27,5.19615242270663,3.0000000000000027,2025-12-14 01:51:00
KTEB,40.86,-74.05,7.0,2025-12-14 01:51:00,0.0,0.0,,16093.44,,,,OVC,11000.0,,,,,,,8,2.0,-4.0,30.02,0,0,0,AO2 SLP167 T00171044 $,1016.93,-0.0,-0.0,2025-12-14 01:51:00
KCDW,40.88,-74.28,64.0,2025-12-14 01:53:00,0.0,0.0,,16093.44,,,,FEW,7500.0,BKN,9500.0,OVC,11000.0,,,8,2.0,-4.0,30.03,0,0,0,AO2 SLP177 T00171044,1017.6,-0.0,-0.0,2025-12-14 01:53:00
KFWN,41.2,-74.63,133.0,2025-12-14 01:53:00,220.0,3.0,,2414.016,-SN,,,OVC,1900.0,,,,,,,8,-1.0,-3.0,30.0,71,0,0,AO2 SLP163 P0001 T10061033,1017.14,1.9283628290596178,2.298133329356934,2025-12-14 01:53:00
KMPO,41.13,-75.38,577.0,2025-12-14 01:53:00,250.0,5.0,,4023.36,-SN,BR,,OVC,2000.0,,,,,,,8,-3.0,-4.0,29.92,71,10,0,AO2 SLP157 P0000 T10281044,1017.66,4.698463103929543,1.7101007166283426,2025-12-14 01:53:00
KSMQ,40.61,-74.67,30.0,2025-12-14 01:53:00,0.0,0.0,,16093.44,,,,SCT,9000.0,OVC,11000.0,,,,,8,0.0,-4.0,30.02,0,0,0,AO2 SLP166 T00001044,1017.09,-0.0,-0.0,2025-12-14 01:53:00
KTTN,40.28,-74.81,59.0,2025-12-14 01:53:00,0.0,0.0,,16093.44,,,,FEW,4400.0,OVC,10000.0,,,,,8,1.0,-3.0,30.02,0,0,0,AO2 SLP163 T00111033,1017.26,-0.0,-0.0,2025-12-14 01:53:00
KPNE,40.08,-75.02,28.0,2025-12-14 01:54:00,0.0,0.0,,16093.44,,,,OVC,9000.0,,,,,,,8,3.0,-3.0,30.04,0,0,0,AO2 SLP173 T00281028,1017.72,-0.0,-0.0,2025-12-14 01:54:00
K12N,41.02,-74.73,177.0,2025-12-14 01:54:00,0.0,0.0,,,,,,,,,,,,,,10,0.0,-3.0,30.0,0,0,0,AO1 SLP173 T00001033 $,1017.35,-0.0,-0.0,2025-12-14 01:54:00
KACY,39.45,-74.56,23.0,2025-12-14 01:54:00,60.0,3.0,,16093.44,,,,OVC,5500.0,,,,,,,8,4.0,-2.0,30.04,0,0,0,AO2 SLP172 T00391022 $,1017.68,-2.598076211353316,-1.5000000000000004,2025-12-14 01:54:00
KCKZ,40.38,-75.28,173.0,2025-12-14 01:55:00,0.0,0.0,,16093.44,,,,SCT,3700.0,BKN,4300.0,OVC,9500.0,,,8,-0.0,-3.0,30.02,0,0,0,AO2,1018.01,-0.0,-0.0,2025-12-14 01:55:00
KDYL,40.33,-75.12,117.0,2025-12-14 01:54:00,0.0,0.0,,16093.44,,,,FEW,5000.0,BKN,7500.0,OVC,9000.0,,,8,2.0,-3.0,30.01,0,0,0,AO2 SLP169 T00221033,1017.21,-0.0,-0.0,2025-12-14 01:54:00
KLDJ,40.61,-74.25,7.0,2025-12-14 01:55:00,0.0,0.0,,16093.44,,,,BKN,8000.0,OVC,11000.0,,,,,8,3.0,-4.0,30.04,0,0,0,AO2 T00251041,1017.61,-0.0,-0.0,2025-12-14 01:55:00
KMIV,39.36,-75.08,23.0,2025-12-14 01:54:00,0.0,0.0,,16093.44,,,,OVC,4200.0,,,,,,,8,2.0,-1.0,30.03,0,0,0,AO2 SLP169 T00221011,1017.36,-0.0,-0.0,2025-12-14 01:54:00
KPHL,39.86,-75.23,18.0,2025-12-14 01:54:00,0.0,0.0,,16093.44,,,,FEW,5000.0,OVC,9000.0,,,,,8,4.0,-3.0,30.05,0,0,0,AO2 SLP174 T00441028 $,1018.0,-0.0,-0.0,2025-12-14 01:54:00
KDOV,39.11,-75.47,9.0,2025-12-14 01:55:00,0.0,0.0,,16093.44,,,,OVC,6000.0,,,,,,,8,4.0,-1.0,30.01,0,0,0,AO2A SLP166 T00401008,1016.6,-0.0,-0.0,2025-12-14 01:55:00
